embedding_id,umap_x,umap_y,umap_z
embedding_00330,12.313302994,2.968456507,-1.531480908
embedding_00331,9.147070885,7.343999386,2.789647102
embedding_00332,0.128144711,3.303945541,-2.010740995
embedding_00333,11.606975555,4.805615902,4.100662708
embedding_00334,12.326244354,-0.626419961,-2.315806627
embedding_00335,13.882978439,3.597735643,-0.083161913
embedding_00336,6.395864964,3.760894299,-3.725197077
embedding_00337,12.365716934,-0.597979784,-0.382241935
embedding_00338,12.002858162,-1.179837465,-3.669315577
embedding_00339,9.998087883,4.231773853,4.395585060
embedding_00340,8.998334885,6.283027172,-4.396799088
embedding_00341,8.366687775,3.490324974,0.080217332
embedding_00342,10.518856049,-0.244525552,5.519473076
embedding_00343,5.623726368,4.502250671,2.143476009
embedding_00344,12.251655579,8.088812828,3.133855104
embedding_00345,8.646711349,4.593894482,-3.532593250
embedding_00346,8.651986122,4.271936417,-0.559891284
embedding_00347,8.615388870,0.370497853,2.955705881
embedding_00348,10.597629547,-1.866015911,-2.483956575
embedding_00349,8.377063751,0.632840633,5.961456299
embedding_00350,8.522418022,3.486945391,-0.339020193
embedding_00351,11.075470924,1.488504648,-1.831126213
embedding_00352,14.351313591,-1.206332922,-0.295453191
embedding_00353,14.544121742,-1.660251975,-0.152280286
embedding_00354,8.562170029,1.752926826,0.068289734
embedding_00355,3.161679983,3.848982096,-10.313636780
embedding_00356,14.028181076,5.307122231,1.084982395
embedding_00357,11.290947914,1.516518950,-2.424940586
embedding_00358,13.867181778,-1.523538947,-1.091655493
embedding_00359,13.024553299,4.473792553,3.122689962
embedding_00360,11.082842827,1.633990407,3.807237625
embedding_00361,13.887320518,5.237472534,3.039945841
embedding_00362,13.330967903,6.503019810,3.147643805
embedding_00363,13.356680870,7.169412136,-4.801610947
embedding_00364,6.417916298,3.506721258,-3.749728918
embedding_00365,6.744759083,6.224314690,-3.624469757
embedding_00366,7.702720642,6.269676208,-3.588538647
embedding_00367,10.208428383,-0.804963529,5.254122734
embedding_00368,3.924920321,-3.350023031,-5.599543571
embedding_00369,11.522793770,7.375864983,2.633944750
embedding_00370,14.421353340,5.429661274,3.529745340
embedding_00371,6.618963242,3.649881840,-7.126606941
embedding_00372,11.598596573,6.671613693,5.194140434
embedding_00373,11.865806580,0.952554762,9.181391716
embedding_00374,12.025656700,-0.052964732,-3.062080383
embedding_00375,8.761246681,6.593429565,-4.998714924
embedding_00376,12.583269119,2.731364489,3.615206718
embedding_00377,13.829243660,4.606784821,1.034238219
embedding_00378,9.952581406,7.461539745,-2.743302822
embedding_00379,9.491558075,-4.890138626,2.787523270
embedding_00380,8.274207115,6.989025116,2.396309614
embedding_00381,15.444191933,-2.158336163,-0.699169457
embedding_00382,11.396582603,0.467572123,4.741680145
embedding_00383,11.714926720,-0.128476501,3.196137428
embedding_00384,9.373504639,1.172116280,5.792513371
embedding_00385,11.827712059,5.995772362,2.206164122
embedding_00386,14.205090523,1.085597396,0.278500319
embedding_00387,13.615022659,2.203185558,6.470157623
embedding_00388,13.741995811,5.295434952,1.886914611
embedding_00389,13.861628532,6.125035763,-4.354341507
embedding_00390,12.073861122,-0.297066480,2.197141647
embedding_00391,9.344377518,1.757616162,1.904661775
embedding_00392,5.322218418,2.399990320,-4.032063484
embedding_00393,5.668774605,4.232982159,-3.169335842
embedding_00394,7.372119904,0.487026364,5.552100658
embedding_00395,10.991812706,2.806082964,7.370488167
embedding_00396,10.529044151,5.618516922,-3.477145910
embedding_00397,14.841333389,2.753508568,-0.128257856
embedding_00398,10.885648727,5.814033031,1.493515611
embedding_00399,10.291316032,13.550940514,5.970233440
embedding_00400,10.951642036,0.594405055,-2.877658129
embedding_00401,10.988284111,-0.430827409,-3.607340097
embedding_00402,6.217410088,5.851923943,2.282953262
embedding_00403,10.617777824,5.567360401,3.981703043
embedding_00404,8.297873497,4.388725281,-0.067883559
embedding_00405,4.520617008,6.913992882,-0.562081754
embedding_00406,12.381175995,7.898848057,-1.368848085
embedding_00407,11.114432335,5.290577888,-1.327657461
embedding_00408,11.666871071,-0.809532225,-3.124417782
embedding_00409,11.684424400,-0.828132808,-3.156189442
embedding_00410,11.324900627,-0.684900165,-3.383176565
embedding_00411,11.657687187,-0.792295516,-3.087102175
embedding_00412,11.413168907,-0.727929890,-3.319477320
embedding_00413,11.813643456,-0.873643458,-2.952101946
embedding_00414,11.746025085,-0.843602896,-3.120085239
embedding_00415,11.864997864,-0.846222281,-2.938875675
embedding_00416,11.860651970,-0.852776825,-2.924945116
embedding_00417,12.302002907,5.753694057,-3.636149645
embedding_00418,13.396562576,5.671488285,-5.300828934
embedding_00419,5.943603516,2.605952740,-5.035002232
embedding_00420,11.592049599,0.080489077,4.031397820
embedding_00421,12.411533356,8.537263870,3.428022146
embedding_00422,14.835301399,6.375823021,-4.229705811
embedding_00423,14.307630539,3.291496754,0.151938528
embedding_00424,10.664929390,2.091249704,-2.739444733
embedding_00425,6.363714695,1.647214413,-4.585023403
embedding_00426,3.710301161,5.746136189,-2.377144337
embedding_00427,6.207363129,1.788681746,-4.329916477
embedding_00428,4.454786301,4.902072906,-2.727974176
embedding_00429,9.979011536,5.173774719,-1.999743342
embedding_00430,12.018819809,5.363735199,-3.873317003
embedding_00431,13.193230629,4.451625824,-4.210078716
embedding_00432,11.399768829,5.345252037,-3.379303932
embedding_00433,9.832102776,0.810500801,-3.211841822
embedding_00434,9.736775398,8.420191765,3.357859612
embedding_00435,9.566493034,2.089565516,5.901288033
embedding_00436,11.222888947,4.607724190,0.179769009
embedding_00437,13.045428276,-1.008525968,-1.606982946
embedding_00438,11.787687302,7.271107197,-0.791480601
embedding_00439,12.584524155,3.201317072,-1.743917584
embedding_00440,9.144336700,7.549110413,2.950815201
embedding_00441,0.301618069,3.131189108,-2.186305523
embedding_00442,11.364240646,4.595321178,4.377480984
embedding_00443,12.384923935,-0.834695041,-2.537101030
embedding_00444,14.184365273,3.565949440,0.208834887
embedding_00445,6.246106148,3.937526464,-3.898560524
embedding_00446,12.531608582,-0.649467170,-0.179095104
embedding_00447,12.133284569,-0.988455057,-3.965489149
embedding_00448,10.228366852,4.090168476,4.590958595
embedding_00449,8.715985298,6.445447922,-4.254648209
embedding_00450,8.194820404,3.380239725,-0.004592824
embedding_00451,10.261421204,-0.370156646,5.667636871
embedding_00452,5.451082230,4.372209072,2.020601273
embedding_00453,12.419743538,7.830273628,3.417148590
embedding_00454,8.686766624,4.486341000,-3.396688700
embedding_00455,8.390240669,4.447064877,-0.653461039
embedding_00456,8.854939461,0.533884645,2.924545527
embedding_00457,10.480289459,-2.052073479,-2.356097460
embedding_00458,8.359599113,0.523324788,6.047143936
embedding_00459,8.338424683,3.303447723,-0.553833365
embedding_00460,11.098310471,1.599339366,-1.634179831
embedding_00461,14.117611885,-0.727865160,-0.225946084
embedding_00462,14.756502151,-1.947550416,0.157360151
embedding_00463,8.470175743,1.651075244,0.035873953
embedding_00464,3.200901985,3.894370317,-10.393049240
embedding_00465,14.225448608,5.125329971,0.831069410
embedding_00466,11.155485153,1.854394555,-2.773055315
embedding_00467,13.534630775,-1.351920605,-1.363302708
embedding_00468,13.210286140,4.252976418,3.229743242
embedding_00469,10.940654755,1.342574716,3.743212938
embedding_00470,14.226211548,4.987608910,3.492141485
embedding_00471,13.212235451,6.984556198,3.378381729
embedding_00472,13.206022263,7.350881100,-4.934874535
embedding_00473,6.158183575,2.802753687,-4.033636570
embedding_00474,6.997435570,6.457851410,-3.818601131
embedding_00475,7.485242367,6.488770485,-3.851974249
embedding_00476,10.038557053,-0.674462616,5.479219913
embedding_00477,3.807222366,-3.236395597,-5.722562313
embedding_00478,11.695074081,7.132994175,2.492352009
embedding_00479,14.475623131,5.133562088,3.691750526
embedding_00480,6.417084694,3.441343069,-7.317129135
embedding_00481,11.802991867,6.951946735,5.399875641
embedding_00482,11.777872086,1.025893450,9.274136543
embedding_00483,12.172121048,-0.324901313,-3.231753588
embedding_00484,8.654732704,6.612100124,-5.092740536
embedding_00485,12.743879318,2.912455797,3.442461252
