audit_id,concept,primary_locus,life_death_module,comparison_register,relationship_type,condition,query_count,mean_s_c,mean_s_r,mean_cas,median_cas
fortitude_resilience,fortitude,Freedom Truth and Moral Teleology,false,psychological resilience,valid_but_partial,natural_general,3,0.521362330886059,0.7838231651317503,-0.2624608342456914,-0.27177540506792164
fortitude_resilience,fortitude,Freedom Truth and Moral Teleology,false,psychological resilience,valid_but_partial,natural_ambiguous,3,0.5663510730073344,0.5138407575901055,0.05251031541722884,0.026097315324959736
fortitude_resilience,fortitude,Freedom Truth and Moral Teleology,false,psychological resilience,valid_but_partial,label_free_theological,3,0.7894987795546738,0.5396862762115826,0.24981250334309127,0.26188110902330053
fortitude_resilience,fortitude,Freedom Truth and Moral Teleology,false,psychological resilience,valid_but_partial,explicit_catholic,3,0.8897196271926603,0.454798541567641,0.43492108562501924,0.4456139434208763
fortitude_resilience,fortitude,Freedom Truth and Moral Teleology,false,psychological resilience,valid_but_partial,integrative,3,0.6959795561698736,0.6970213008802437,-0.0010417447103700332,-0.004309682143129434
charity_philanthropy,charity,Freedom Truth and Moral Teleology,false,philanthropic giving,alternative_lexical_senses,bare,1,0.4217920023232802,0.5490785892766429,-0.1272865869533627,-0.1272865869533627
charity_philanthropy,charity,Freedom Truth and Moral Teleology,false,philanthropic giving,alternative_lexical_senses,natural_general,3,0.4886303774813437,0.7345644701071156,-0.24593409262577173,-0.24194377944775974
charity_philanthropy,charity,Freedom Truth and Moral Teleology,false,philanthropic giving,alternative_lexical_senses,natural_ambiguous,3,0.5028148968724371,0.5222609657753123,-0.01944606890287524,-0.022631363225666223
charity_philanthropy,charity,Freedom Truth and Moral Teleology,false,philanthropic giving,alternative_lexical_senses,label_free_theological,3,0.8309381903164071,0.5187188906334499,0.3122192996829573,0.32700269470051313
charity_philanthropy,charity,Freedom Truth and Moral Teleology,false,philanthropic giving,alternative_lexical_senses,explicit_catholic,3,0.8816889560715399,0.4580326996245348,0.42365625644700516,0.42959611877586534
charity_philanthropy,charity,Freedom Truth and Moral Teleology,false,philanthropic giving,alternative_lexical_senses,integrative,3,0.6933021306326728,0.6750722779339423,0.01822985269873049,0.017153942417157286
