query_id,audit_id,concept,condition,omitted_reference_count,full_cas,min_loro_cas,max_loro_cas,mean_loro_cas,max_absolute_cas_change,sign_stability_proportion
community_voluntary_association_integrative_p2,community_voluntary_association,community,integrative,6,0.0373489498483589,0.000645645399942274,0.07912352604548778,0.0373489498483589,0.041774576197128876,1.0
community_voluntary_association_integrative_p3,community_voluntary_association,community,integrative,6,0.0487403143322621,0.024202091653564572,0.06546477580805377,0.048740314332262134,0.024538222678697527,1.0
sacrament_generic_ritual_bare_p1,sacrament_generic_ritual,sacrament,bare,6,-0.0199850904122168,-0.03331935621797699,-0.007834077231615666,-0.019985090412216872,0.013334265805760193,1.0
sacrament_generic_ritual_natural_general_p1,sacrament_generic_ritual,sacrament,natural_general,6,-0.2191928675551095,-0.2496599542025545,-0.19245332479156751,-0.21919286755510958,0.03046708664744499,1.0
sacrament_generic_ritual_natural_general_p2,sacrament_generic_ritual,sacrament,natural_general,6,-0.2085753704503467,-0.2616767816220973,-0.1437434527975432,-0.2085753704503468,0.0648319176528035,1.0
sacrament_generic_ritual_natural_general_p3,sacrament_generic_ritual,sacrament,natural_general,6,-0.1940182302479872,-0.2118021559390143,-0.18324756955488286,-0.19401823024798728,0.017783925691027103,1.0
sacrament_generic_ritual_natural_ambiguous_p1,sacrament_generic_ritual,sacrament,natural_ambiguous,6,-0.0415266776200258,-0.06199955669737334,-0.024740975047458702,-0.04152667762002583,0.020472879077347537,1.0
sacrament_generic_ritual_natural_ambiguous_p2,sacrament_generic_ritual,sacrament,natural_ambiguous,6,-0.0745591967152023,-0.08894652545686205,-0.05684300994804298,-0.07455919671520232,0.017716186767159317,1.0
sacrament_generic_ritual_natural_ambiguous_p3,sacrament_generic_ritual,sacrament,natural_ambiguous,6,-0.0248755140162673,-0.03358222152840207,-0.018272930866052528,-0.02487551401626738,0.008706707512134766,1.0
sacrament_generic_ritual_label_free_theological_p1,sacrament_generic_ritual,sacrament,label_free_theological,6,0.2760094921983405,0.26516606414385235,0.28423616653342776,0.2760094921983405,0.010843428054488125,1.0
sacrament_generic_ritual_label_free_theological_p2,sacrament_generic_ritual,sacrament,label_free_theological,6,0.3098870128873799,0.28253934623532706,0.32466569331944206,0.3098870128873799,0.02734766665205285,1.0
sacrament_generic_ritual_label_free_theological_p3,sacrament_generic_ritual,sacrament,label_free_theological,6,0.2365026550656634,0.2071252491526273,0.28269542216028587,0.23650265506566356,0.04619276709462247,1.0
sacrament_generic_ritual_explicit_catholic_p1,sacrament_generic_ritual,sacrament,explicit_catholic,6,0.3643348357910707,0.3474739238280099,0.38573743350210477,0.3643348357910707,0.021402597711034088,1.0
sacrament_generic_ritual_explicit_catholic_p2,sacrament_generic_ritual,sacrament,explicit_catholic,6,0.3910346465094051,0.3581838926437339,0.4202989008205999,0.3910346465094053,0.03285075386567121,1.0
sacrament_generic_ritual_explicit_catholic_p3,sacrament_generic_ritual,sacrament,explicit_catholic,6,0.326435987902783,0.3022276349151243,0.36540837183629615,0.32643598790278316,0.038972383933513155,1.0
sacrament_generic_ritual_integrative_p1,sacrament_generic_ritual,sacrament,integrative,6,0.0199646500170486,0.005791299421495033,0.03538516347276566,0.019964650017048613,0.015420513455717058,1.0
sacrament_generic_ritual_integrative_p2,sacrament_generic_ritual,sacrament,integrative,6,0.0102169201766764,-0.025024539853022,0.047967166926254245,0.010216920176676378,0.037750246749577845,0.6666666666666666
sacrament_generic_ritual_integrative_p3,sacrament_generic_ritual,sacrament,integrative,6,0.0187672486979049,-0.0026914050340309803,0.03077993974487736,0.018767248697904842,0.02145865373193588,0.8333333333333334
baptism_initiation_rite_bare_p1,baptism_initiation_rite,baptism,bare,6,0.0017435847240792,-0.01553311041144334,0.015331713272451197,0.0017435847240791873,0.01727669513552254,0.6666666666666666
baptism_initiation_rite_natural_general_p1,baptism_initiation_rite,baptism,natural_general,6,-0.2089537945135573,-0.24033340524133306,-0.18059961900584431,-0.20895379451355733,0.03137961072777576,1.0
baptism_initiation_rite_natural_general_p2,baptism_initiation_rite,baptism,natural_general,6,-0.2291497856311551,-0.2791149999279249,-0.171587510575684,-0.2291497856311552,0.057562275055471096,1.0
baptism_initiation_rite_natural_general_p3,baptism_initiation_rite,baptism,natural_general,6,-0.1966170580750739,-0.21795511546068724,-0.1844528209345696,-0.1966170580750739,0.02133805738561334,1.0
baptism_initiation_rite_natural_ambiguous_p1,baptism_initiation_rite,baptism,natural_ambiguous,6,0.059987791702365,0.05168255889670925,0.06659707424485661,0.05998779170236509,0.008305232805655746,1.0
