audit_id,concept,condition,paraphrase_count,mean_s_c,min_s_c,max_s_c,mean_s_r,min_s_r,max_s_r,mean_cas,min_cas,max_cas,cas_standard_deviation,positive_cas_proportion
fortitude_resilience,fortitude,natural_ambiguous,3,0.5663510730073344,0.5231157253723955,0.6263077819169082,0.5138407575901055,0.5000518056358227,0.5235323964077399,0.0525103154172288,0.0051776546456413,0.1262559762810854,0.06471649652847153,1.0
fortitude_resilience,fortitude,label_free_theological,3,0.7894987795546738,0.7746315698233227,0.7969767479205946,0.5396862762115826,0.5323770189760056,0.5516748977619383,0.2498125033430912,0.2229566720613843,0.2645997289445889,0.023297520875465206,1.0
fortitude_resilience,fortitude,explicit_catholic,3,0.8897196271926603,0.8765211389262267,0.9009899064484276,0.45479854156764093,0.4460338927824502,0.4714443565225517,0.43492108562501924,0.405076782403675,0.4540725310505065,0.026189668807521962,1.0
fortitude_resilience,fortitude,integrative,3,0.6959795561698736,0.685744000679729,0.7094490140488897,0.6970213008802437,0.6807946613654435,0.7202155584524291,-0.0010417447103700335,-0.0274699046714268,0.0286543526834461,0.028204478850128105,0.3333333333333333
charity_philanthropy,charity,natural_general,3,0.4886303774813437,0.4727098966869096,0.5187245368559101,0.7345644701071156,0.7164004783489711,0.7559827921526695,-0.2459340926257717,-0.2586002431327961,-0.2372582552967593,0.011216597551947203,0.0
charity_philanthropy,charity,natural_ambiguous,3,0.5028148968724371,0.4618878638609145,0.5646969324476111,0.5222609657753123,0.5044912575344518,0.5340876000100501,-0.01944606890287523,-0.0663161759205205,0.030609332437561,0.04854120020724905,0.3333333333333333
charity_philanthropy,charity,label_free_theological,3,0.8309381903164071,0.7985740027310934,0.8514451861907641,0.5187188906334499,0.5057896194900883,0.5345743650834104,0.3122192996829573,0.2639996376476829,0.3456555667006759,0.042788249129412544,1.0
charity_philanthropy,charity,explicit_catholic,3,0.8816889560715399,0.8511545269952157,0.9013267546968636,0.45803269962453474,0.4435052375950039,0.4676033935319254,0.42365625644700505,0.3835511334632902,0.4578215171018598,0.03748978453951737,1.0
charity_philanthropy,charity,integrative,3,0.6933021306326728,0.6719684579178087,0.721220601126754,0.6750722779339423,0.6695633904362984,0.6856828959972733,0.018229852698730467,-0.0137144380794645,0.0512500537584987,0.03249560719761508,0.6666666666666666
solidarity_social_cohesion,solidarity,natural_general,3,0.4844626447961344,0.461305203049344,0.5034946025241821,0.7399905635099424,0.7241531080144701,0.7537913867512076,-0.255527918713808,-0.2652032579363305,-0.2385325932399675,0.014765423728294046,0.0
solidarity_social_cohesion,solidarity,natural_ambiguous,3,0.50527046307271,0.4368851946559005,0.6293941371706765,0.5104306748359363,0.4966527723829271,0.5258576247880854,-0.005160211763226436,-0.0597675777270266,0.1035365123825911,0.09413448073389188,0.3333333333333333
solidarity_social_cohesion,solidarity,label_free_theological,3,0.7842870012291204,0.7662025051856346,0.8004724598125345,0.548403516918529,0.5431805975839988,0.5581179798546665,0.2358834843105915,0.2080845253309681,0.256560486495613,0.0250104259089519,1.0
solidarity_social_cohesion,solidarity,explicit_catholic,3,0.8770289902548208,0.8571929201924823,0.8911918290358153,0.4333425044889205,0.4236813528035371,0.4512438635597433,0.44368648576590025,0.405949056632739,0.4675104762322782,0.033055104408069684,1.0
solidarity_social_cohesion,solidarity,integrative,3,0.6754704074268733,0.6311041808749703,0.7254862746222983,0.6676666120196177,0.6456152238856024,0.6937477268953383,0.007803795407255398,-0.0239269601119872,0.0618493893443855,0.04704104103575688,0.3333333333333333
subsidiarity_decentralization,subsidiarity,natural_general,3,0.5757516793706199,0.5422894868487363,0.6233401331604534,0.7748852981404147,0.7690923546122915,0.7817915298793569,-0.19913361876979474,-0.2268028677635551,-0.1584513967189034,0.035985886112907886,0.0
subsidiarity_decentralization,subsidiarity,natural_ambiguous,3,0.5288787965625011,0.4842328371522317,0.6055831237669415,0.49816494116080934,0.4657869771007288,0.5233766811408249,0.0307138554016918,-0.0391438439885931,0.1397961466662126,0.09570165369344862,0.3333333333333333
subsidiarity_decentralization,subsidiarity,label_free_theological,3,0.8304681560772047,0.8239042879015038,0.8356403879117923,0.5638118034271626,0.5396845564729195,0.5884853555128834,0.266656352650042,0.2354189323886204,0.2959558314388728,0.030314942677143575,1.0
subsidiarity_decentralization,subsidiarity,explicit_catholic,3,0.9043930388131806,0.8948842040367501,0.9139436033088568,0.5015222584686374,0.4863084027629887,0.5240508500275675,0.40287078034454304,0.3708333540091826,0.4276352005458679,0.02909097637006321,1.0
subsidiarity_decentralization,subsidiarity,integrative,3,0.7089010651069056,0.6719759991139065,0.754558445998461,0.697507920406415,0.6795595765937947,0.7255591517105415,0.011393144700490633,-0.0253904015021921,0.0671534130835522,0.04910373094840774,0.3333333333333333
