locus,concept,concept_type,ambiguity_level,bare_cas,bare_top_catholic_rate,bare_query_count,ordinary_cas,ordinary_top_catholic_rate,ordinary_query_count,academic_cas,academic_top_catholic_rate,academic_query_count,catholic_cas,catholic_top_catholic_rate,catholic_query_count,bare_to_catholic_shift,ordinary_to_catholic_shift,academic_to_catholic_shift,default_cas,default_to_catholic_shift
Sin Grace and Redemption,conversion,moral_spiritual,medium,0.01831957697868347,1.0,1,0.037186897794405614,1.0,3,0.05088558991750083,1.0,3,0.12957240939140321,1.0,3,0.11125283241271974,0.0923855115969976,0.07868681947390238,0.027753237386544543,0.10181917200485867
Sin Grace and Redemption,forgiveness,moral_spiritual,medium,0.0002644956111907959,0.0,1,-0.027533332506815594,0.0,3,0.008091812332471212,0.0,3,0.10318163832028708,1.0,3,0.10291714270909628,0.13071497082710268,0.09508982598781587,-0.013634418447812399,0.11681605676809947
Sin Grace and Redemption,grace,doctrinal,low,-0.01936732530593871,0.0,1,0.13994692564010622,1.0,3,0.15364367862542472,1.0,3,0.21388895163933438,1.0,3,0.2332562769452731,0.07394202599922817,0.06024527301390967,0.060289800167083754,0.15359915147225062
Sin Grace and Redemption,guilt,psychological_moral,high,-0.0690670549869537,0.0,1,-0.031181541085243236,0.0,3,0.013040322065353402,0.3333333333333333,3,0.10943085451920827,1.0,3,0.17849790950616196,0.1406123956044515,0.09639053245385487,-0.05012429803609847,0.15955515255530672
Sin Grace and Redemption,judgment,eschatological_moral,high,0.0322228848934174,1.0,1,0.0746007372935613,1.0,3,0.15292776226997376,1.0,3,0.17697483201821643,1.0,3,0.14475194712479902,0.10237409472465513,0.024047069748242667,0.05341181109348935,0.12356302092472707
Sin Grace and Redemption,justification,doctrinal,low,-0.17905533909797666,0.0,1,-0.02871681253115338,0.3333333333333333,3,0.008681389689445504,0.6666666666666666,3,0.11870826681454978,1.0,3,0.29776360591252643,0.14742507934570315,0.11002687712510428,-0.10388607581456502,0.22259434262911482
Sin Grace and Redemption,mercy,moral_spiritual,medium,0.002097100019454956,0.0,1,0.043611605962117495,1.0,3,0.02714060048262279,0.6666666666666666,3,0.07812037567297618,1.0,3,0.07602327565352122,0.034508769710858686,0.05097977519035339,0.022854352990786225,0.055266022682189955
Sin Grace and Redemption,mortal sin,doctrinal,low,-7.28130340576505e-05,1.0,1,0.06908894876639048,1.0,3,0.07200299402077993,1.0,3,0.06894638538360597,1.0,3,0.06901919841766362,-0.00014256338278451075,-0.0030566086371739687,0.03450806786616641,0.03443831751743955
Sin Grace and Redemption,original sin,doctrinal,low,0.05483747720718385,1.0,1,0.09838498830795288,1.0,3,0.10677947998046873,1.0,3,0.07957100272178651,1.0,3,0.02473352551460266,-0.01881398558616637,-0.027208477258682223,0.07661123275756837,0.002959769964218137
Sin Grace and Redemption,penance,sacramental_moral,low,-0.03526923656463621,1.0,1,0.06251902381579082,1.0,3,0.04188330968221029,1.0,3,0.046629559000333165,1.0,3,0.08189879556496937,-0.015889464815457652,0.004746249318122876,0.013624893625577304,0.03300466537475586
Sin Grace and Redemption,personal sin,moral_doctrinal,medium,-0.009661853313446045,0.0,1,0.10980234841505687,1.0,3,0.1112960070371628,1.0,3,0.11276610940694809,1.0,3,0.12242796272039413,0.0029637609918912178,0.0014701023697852866,0.05007024755080541,0.06269586185614268
Sin Grace and Redemption,reconciliation,moral_sacramental,medium,-0.0695966839790344,0.0,1,-0.028968549768129976,0.0,3,0.00592331190903983,0.3333333333333333,3,0.12402060031890871,1.0,3,0.19361728429794312,0.1529891500870387,0.11809728840986888,-0.04928261687358219,0.1733032171924909
Sin Grace and Redemption,redemption,doctrinal,medium,0.08899523913860324,1.0,1,0.07589706132809322,1.0,3,0.1475375274817149,1.0,3,0.17837483584880828,1.0,3,0.08937959671020504,0.10247777452071506,0.03083730836709339,0.08244615023334823,0.09592868561546006
Sin Grace and Redemption,repentance,moral_spiritual,medium,0.09936902523040769,1.0,1,0.07958367864290872,1.0,3,0.09814511835575103,1.0,3,0.11519093513488769,1.0,3,0.01582190990448,0.035607256491978975,0.017045816779136663,0.0894763519366582,0.025714583198229488
Sin Grace and Redemption,salvation,doctrinal,medium,0.15709416270256038,1.0,1,0.16911143958568575,1.0,3,0.1940913716952006,1.0,3,0.23551453749338783,1.0,3,0.07842037479082745,0.06640309790770207,0.04142316579818722,0.16310280114412307,0.07241173634926476
Sin Grace and Redemption,sanctification,doctrinal,low,0.16379047632217408,1.0,1,0.1654950459798177,1.0,3,0.16977868477503458,1.0,3,0.171466268102328,1.0,3,0.007675791780153929,0.005971222122510306,0.0016875833272934349,0.1646427611509959,0.006823506951332103
